    52   3851      0 2.612068E-005 2.612068E-005 5.700000E-006 2.314912E-017 0.000000E+000
    53     -1   3845 6.024602E-005 6.024602E-005 8.550000E-006 2.314912E-017 0.000000E+000
    54     -1   3832 2.850000E-006 2.850000E-006 2.280000E-005 1.041711E-015 0.000000E+000
    55     -1   3830 2.596474E-005 2.596474E-005 4.030509E-006 9.259650E-017 0.000000E+000
    56   3825      0 3.705000E-005 3.705000E-005 1.175085E-005 1.157456E-016 0.000000E+000
    57   3805      0 2.850000E-006 2.850000E-006 2.484572E-005 8.565176E-016 0.000000E+000
    58   3803      0 2.850000E-006 2.850000E-006 3.199117E-005 4.861316E-016 0.000000E+000
    59   3785      0 2.850000E-006 2.850000E-006 2.244092E-005 1.041711E-015 0.000000E+000
    60     -1   3755 2.596474E-005 2.596474E-005 6.372794E-006 1.157456E-016 0.000000E+000
    61     -1   3736 2.850000E-006 2.850000E-006 4.674348E-005 1.041711E-015 0.000000E+000
    62   3721      0 2.468172E-005 2.468172E-005 5.700000E-006 2.314912E-017 0.000000E+000
    63   3699      0 2.850000E-006 2.850000E-006 1.911838E-005 6.713246E-016 0.000000E+000
    64     -1   3696 4.098452E-005 4.098452E-005 2.850000E-006 2.314912E-017 0.000000E+000
    65   3644      0 6.836664E-005 6.836664E-005 6.372794E-006 9.259650E-017 0.000000E+000
    66     -1   3637 2.035307E-005 2.035307E-005 4.030509E-006 4.629825E-017 0.000000E+000
    67   3619      0 2.451663E-005 2.451663E-005 4.030509E-006 9.259650E-017 0.000000E+000
    68   3618      0 2.850000E-006 2.850000E-006 1.661821E-005 6.713246E-016 0.000000E+000
    69   3579      0 2.975487E-005 2.975487E-005 4.936345E-006 2.083421E-016 0.000000E+000
    70     -1   3567 2.367388E-005 2.367388E-005 4.030509E-006 9.259650E-017 0.000000E+000
    71     -1   3564 2.850000E-006 2.850000E-006 1.561009E-005 4.861316E-016 0.000000E+000
    72     -1   3563 2.850000E-006 2.850000E-006 1.911838E-005 6.713246E-016 0.000000E+000
    73     -1   3498 1.995000E-005 1.995000E-005 4.030509E-006 6.944738E-017 0.000000E+000
    74     -1   3494 3.559566E-005 3.559566E-005 2.850000E-006 4.629825E-017 0.000000E+000
    75     -1   3445 1.453221E-005 1.453221E-005 4.030509E-006 9.259650E-017 0.000000E+000
    76     -1   3439 2.850000E-006 2.850000E-006 5.707121E-005 1.157456E-016 0.000000E+000
    77   3427      0 2.850000E-006 2.850000E-006 1.425000E-005 6.481755E-016 0.000000E+000
    78   3426      0 2.850000E-006 2.850000E-006 1.425000E-005 2.314912E-017 0.000000E+000
    79   3306      0 2.094314E-005 2.094314E-005 8.550000E-006 2.314912E-017 0.000000E+000
    80     -1   3299 2.074831E-005 2.074831E-005 4.030509E-006 1.157456E-016 0.000000E+000
    81     -1   3293 1.637200E-005 1.637200E-005 4.030509E-006 1.157456E-016 0.000000E+000
    82   3285      0 2.850000E-006 2.850000E-006 1.480903E-005 2.083421E-016 0.000000E+000
    83   3284      0 2.850000E-006 2.850000E-006 1.396209E-005 5.787281E-016 0.000000E+000
    84   3273      0 1.733587E-005 1.733587E-005 6.372794E-006 1.157456E-016 0.000000E+000
    85     -1   3263 1.756858E-005 1.756858E-005 8.061017E-006 3.009386E-016 0.000000E+000
