  4576  1.140000E-003  1.140000E-003  1.140000E-003
   117 7.324500E-004 9.861000E-004 6.298500E-004   1	  972	    0	    0	  726
   118 6.327000E-004 1.938000E-004 9.177000E-004   1	 2674	    0	    0	  728
   119 1.114350E-003 3.762000E-004 5.928000E-004   1	 3318	    0	    0	  734
   120 1.767000E-004 1.000350E-003 3.277500E-004   1	 2145	    0	    0	  747
   121 1.003200E-003 2.280000E-004 6.355500E-004   1	 3375	    0	    0	  748
   122 3.306000E-004 3.876000E-004 6.555000E-005   1	  123	    0	    0	  752
   123 3.021000E-004 3.648000E-004 4.275000E-005   1	  122	    0	    0	  752
   124 6.954000E-004 1.131450E-003 3.049500E-004   1	 3416	    0	    0	  762
   125 7.837500E-004 1.048800E-003 3.705000E-004   1	 3746	    0	    0	  765
   126 7.837500E-004 9.291000E-004 2.166000E-004   1	  914	    0	    0	  766
   127 4.189500E-004 6.469500E-004 7.324500E-004   2	 3614	 3712	    0	    0	  767	  534
   128 6.384000E-004 8.379000E-004 1.168500E-004   1	 1811	    0	    0	  768
   129 8.778000E-004 5.443500E-004 6.982500E-004   2	 2939	  540	    0	    0	  535	  769
   130 9.576000E-004 7.381500E-004 2.251500E-004   1	  131	    0	    0	  771
   131 9.376500E-004 7.609500E-004 2.251500E-004   1	  130	    0	    0	  771
   132 5.073000E-004 7.695000E-004 2.992500E-004   1	 3457	    0	    0	  774
   133 1.653000E-004 9.804000E-004 4.275000E-004   1	 3707	    0	    0	  776
   134 1.028850E-003 3.819000E-004 8.122500E-004   1	 3691	    0	    0	  779
   135 3.790500E-004 1.282500E-004 8.664000E-004   1	 1635	    0	    0	  783
   136 3.220500E-004 1.028850E-003 7.353000E-004   3	  158	  592	  140	    0	    0	  784	  230	  229
   137 7.239000E-004 9.348000E-004 8.151000E-004   2	  138	  139	    0	    0	  782	  785
   138 7.267500E-004 9.120000E-004 8.151000E-004   2	  137	  139	    0	    0	  782	  786
   139 7.239000E-004 9.148500E-004 8.008500E-004   2	  137	  138	    0	    0	  785	  786
   140 3.904500E-004 1.017450E-003 7.438500E-004   3	  592	  136	  783	    0	    0	  377	  229	  788
   141 1.624500E-004 7.239000E-004 1.091550E-003   1	 3895	    0	    0	  789
   142 4.645500E-004 8.037000E-004 2.337000E-004   2	 3415	 3929	    0	    0	  790	  729
   143 7.809000E-004 7.210500E-004 1.795500E-004   2	   14	  698	    0	    0	  286	  792
   144 3.420000E-005 6.811500E-004 4.075500E-004   1	  145	    0	    0	  793
   145 8.550000E-006 6.612000E-004 3.933000E-004   1	  144	    0	    0	  793
   146 8.407500E-004 9.177000E-004 8.379000E-004   1	 2549	    0	    0	  795
   147 2.394000E-004 7.980000E-005 3.106500E-004   1	 3646	    0	    0	  798
   148 5.614500E-004 5.871000E-004 4.132500E-004   2	 2658	 2916	    0	    0	  609	  801
   149 9.177000E-004 9.889500E-004 7.581000E-004   2	 2750	 2135	    0	    0	  487	  803
   150 7.381500E-004 8.322000E-004 1.396500E-004   1	 2848	    0	    0	  804
   151 5.842500E-004 6.840000E-004 4.446000E-004   1	 2191	    0	    0	  805
   152 5.244000E-004 3.448500E-004 9.177000E-004   1	 2995	    0	    0	  806
   153 7.125000E-005 1.140000E-005 2.223000E-004   1	  154	    0	    0	  807
   154 6.555000E-005 2.850000E-006 2.821500E-004   1	  153	    0	    0	  807
   155 1.131450E-003 1.014600E-003 1.048800E-003   2	    0	  156	    0	    1	  217	  808
   156 1.134300E-003 1.008900E-003 1.068750E-003   2	    0	  155	    0	    1	  216	  808
   157 2.935500E-004 1.040250E-003 7.153500E-004   1	  158	    0	    0	  812
   158 2.992500E-004 1.026000E-003 7.267500E-004   2	  136	  157	    0	    0	  784	  812
   159 8.835000E-004 6.925500E-004 8.550000E-005   1	  160	    0	    0	  814
   160 8.721000E-004 6.697500E-004 1.026000E-004   1	  159	    0	    0	  814
   161 1.539000E-004 8.464500E-004 4.531500E-004   1	  162	    0	    0	  815
   162 1.738500E-004 8.521500E-004 4.617000E-004   2	 2360	  161	    0	    0	  620	  815
   163 6.270000E-004 4.702500E-004 4.645500E-004   2	  919	  918	    0	    0	  689	  817
   164 6.640500E-004 3.847500E-004 6.213000E-004   2	 2353	 2223	    0	    0	  442	  818
   165 3.990000E-004 3.847500E-004 6.184500E-004   2	 1824	 3311	    0	    0	  821	  794
   166 5.130000E-005 1.909500E-004 1.909500E-004   1	 3563	    0	    0	  823
